id	description	prompt_input	is_critical	criticality_score	validation_status	corrected_label
CVE-2023-0017	an unauthenticated attacker in sap netweaver as for java - version 7.50, due to improper access control, can attach to an open interface and make use of an open naming and directory api to access services which can be used to perform unauthorized operations affecting users and data on the current system. this could allow the attacker to have full read access to user data, make modifications to user data, and make services within the system unavailable.	"Extract cybersecurity concepts and relationships from the following description:

an unauthenticated attacker in sap netweaver as for java - version 7.50, due to improper access control, can attach to an open interface and make use of an open naming and directory api to access services which can be used to perform unauthorized operations affecting users and data on the current system. this could allow the attacker to have full read access to user data, make modifications to user data, and make services within the system unavailable."	FALSE	2	unreviewed	FALSE
CVE-2023-0018	due to improper input sanitization of user-controlled input in sap businessobjects business intelligence platform cmc application - versions 420, and 430, an attacker with basic user-level privileges can modify/upload crystal reports containing a malicious payload. once these reports are viewable, anyone who opens those reports would be susceptible to stored xss attacks. as a result of the attack, information maintained in the victim's web browser can be read, modified, and sent to the attacker.	"Extract cybersecurity concepts and relationships from the following description:

due to improper input sanitization of user-controlled input in sap businessobjects business intelligence platform cmc application - versions 420, and 430, an attacker with basic user-level privileges can modify/upload crystal reports containing a malicious payload. once these reports are viewable, anyone who opens those reports would be susceptible to stored xss attacks. as a result of the attack, information maintained in the victim's web browser can be read, modified, and sent to the attacker."	FALSE	2	unreviewed	FALSE
CVE-2023-0019	in sap grc (process control) - versions grcfnd_a v1200, grcfnd_a v8100, grcpinw v1100_700, grcpinw v1100_731, grcpinw v1200_750, remote-enabled function module in the proprietary sap solution enables an authenticated attacker with minimal privileges to access all the confidential data stored in the database. successful exploitation of this vulnerability can expose user credentials from client-specific tables of the database, leading to high impact on confidentiality.	"Extract cybersecurity concepts and relationships from the following description:

in sap grc (process control) - versions grcfnd_a v1200, grcfnd_a v8100, grcpinw v1100_700, grcpinw v1100_731, grcpinw v1200_750, remote-enabled function module in the proprietary sap solution enables an authenticated attacker with minimal privileges to access all the confidential data stored in the database. successful exploitation of this vulnerability can expose user credentials from client-specific tables of the database, leading to high impact on confidentiality."	TRUE	6	unreviewed	TRUE
CVE-2023-0020	sap businessobjects business intelligence platform - versions 420, 430, allows an authenticated attacker to access sensitive information which is otherwise restricted. on successful exploitation, there could be a high impact on confidentiality and limited impact on integrity of the application.	"Extract cybersecurity concepts and relationships from the following description:

sap businessobjects business intelligence platform - versions 420, 430, allows an authenticated attacker to access sensitive information which is otherwise restricted. on successful exploitation, there could be a high impact on confidentiality and limited impact on integrity of the application."	FALSE	2	unreviewed	FALSE
CVE-2023-0021	due to insufficient encoding of user input, sap netweaver - versions 700, 701, 702, 731, 740, 750, allows an unauthenticated attacker to inject code that may expose sensitive data like user id and password, which could lead to reflected cross-site scripting. these endpoints are normally exposed over the network and successful exploitation can partially impact confidentiality of the application.	"Extract cybersecurity concepts and relationships from the following description:

due to insufficient encoding of user input, sap netweaver - versions 700, 701, 702, 731, 740, 750, allows an unauthenticated attacker to inject code that may expose sensitive data like user id and password, which could lead to reflected cross-site scripting. these endpoints are normally exposed over the network and successful exploitation can partially impact confidentiality of the application."	FALSE	2	unreviewed	FALSE
CVE-2023-0022	sap businessobjects business intelligence analysis edition for olap allows an authenticated attacker to inject malicious code that can be executed by the application over the network. on successful exploitation, an attacker can perform operations that may completely compromise the application causing a high impact on the confidentiality, integrity, and availability of the application.	"Extract cybersecurity concepts and relationships from the following description:

sap businessobjects business intelligence analysis edition for olap allows an authenticated attacker to inject malicious code that can be executed by the application over the network. on successful exploitation, an attacker can perform operations that may completely compromise the application causing a high impact on the confidentiality, integrity, and availability of the application."	TRUE	4	unreviewed	TRUE
CVE-2023-0023	in sap bank account management (manage banks) application, when a user clicks a smart link to navigate to another app, personal data is shown directly in the url. they might get captured in log files, bookmarks, and so on disclosing sensitive data of the application.	"Extract cybersecurity concepts and relationships from the following description:

in sap bank account management (manage banks) application, when a user clicks a smart link to navigate to another app, personal data is shown directly in the url. they might get captured in log files, bookmarks, and so on disclosing sensitive data of the application."	FALSE	0	unreviewed	FALSE
CVE-2023-0024	sap solution manager (bsp application) - version 720, allows an authenticated attacker to craft a malicious link, which when clicked by an unsuspecting user, can be used to read or modify some sensitive information or craft a payload which may restrict access to the desired resources, resulting in cross-site scripting vulnerability.	"Extract cybersecurity concepts and relationships from the following description:

sap solution manager (bsp application) - version 720, allows an authenticated attacker to craft a malicious link, which when clicked by an unsuspecting user, can be used to read or modify some sensitive information or craft a payload which may restrict access to the desired resources, resulting in cross-site scripting vulnerability."	FALSE	0	unreviewed	FALSE
CVE-2023-0025	sap solution manager (bsp application) - version 720, allows an authenticated attacker to craft a malicious link, which when clicked by an unsuspecting user, can be used to read or modify some sensitive information or craft a payload which may restrict access to the desired resources.	"Extract cybersecurity concepts and relationships from the following description:

sap solution manager (bsp application) - version 720, allows an authenticated attacker to craft a malicious link, which when clicked by an unsuspecting user, can be used to read or modify some sensitive information or craft a payload which may restrict access to the desired resources."	FALSE	0	unreviewed	FALSE
CVE-2023-0026	an improper input validation vulnerability in the routing protocol daemon (rpd) of juniper networks junos os and junos os evolved allows an unauthenticated, network-based attacker to cause a denial of service (dos). when a bgp update message is received over an established bgp session, and that message contains a specific, optional transitive attribute, this session will be torn down with an update message error. this issue cannot propagate beyond an affected system as the processing error occurs as soon as the update is received. this issue is exploitable remotely as the respective attribute can propagate through unaffected systems and intermediate as (if any). continuous receipt of a bgp update containing this attribute will create a sustained denial of service (dos) condition. some customers have experienced these bgp session flaps which prompted juniper sirt to release this advisory out of cycle before fixed releases are widely available as there is an effective workaround. this issue affects: juniper networks junos os 15.1r1 and later versions prior to 20.4r3-s8; 21.1 version 21.1r1 and later versions prior to 21.2r3-s6; 21.3 versions prior to 21.3r3-s5; 21.4 versions prior to 21.4r3-s4; 22.1 versions prior to 22.1r3-s4; 22.2 versions prior to 22.2r3-s2; 22.3 versions prior to 22.3r2-s2, 22.3r3-s1; 22.4 versions prior to 22.4r2-s1, 22.4r3; 23.1 versions prior to 23.1r1-s1, 23.1r2. juniper networks junos os evolved all versions prior to 20.4r3-s8-evo; 21.1 version 21.1r1-evo and later versions prior to 21.2r3-s6-evo; 21.3 versions prior to 21.3r3-s5-evo; 21.4 versions prior to 21.4r3-s4-evo; 22.1 versions prior to 22.1r3-s4-evo; 22.2 versions prior to 22.2r3-s2-evo; 22.3 versions prior to 22.3r2-s2-evo, 22.3r3-s1-evo; 22.4 versions prior to 22.4r2-s1-evo, 22.4r3-evo; 23.1 versions prior to 23.1r1-s1-evo, 23.1r2-evo.	"Extract cybersecurity concepts and relationships from the following description:

an improper input validation vulnerability in the routing protocol daemon (rpd) of juniper networks junos os and junos os evolved allows an unauthenticated, network-based attacker to cause a denial of service (dos). when a bgp update message is received over an established bgp session, and that message contains a specific, optional transitive attribute, this session will be torn down with an update message error. this issue cannot propagate beyond an affected system as the processing error occurs as soon as the update is received. this issue is exploitable remotely as the respective attribute can propagate through unaffected systems and intermediate as (if any). continuous receipt of a bgp update containing this attribute will create a sustained denial of service (dos) condition. some customers have experienced these bgp session flaps which prompted juniper sirt to release this advisory out of cycle before fixed releases are widely available as there is an effective workaround. this issue affects: juniper networks junos os 15.1r1 and later versions prior to 20.4r3-s8; 21.1 version 21.1r1 and later versions prior to 21.2r3-s6; 21.3 versions prior to 21.3r3-s5; 21.4 versions prior to 21.4r3-s4; 22.1 versions prior to 22.1r3-s4; 22.2 versions prior to 22.2r3-s2; 22.3 versions prior to 22.3r2-s2, 22.3r3-s1; 22.4 versions prior to 22.4r2-s1, 22.4r3; 23.1 versions prior to 23.1r1-s1, 23.1r2. juniper networks junos os evolved all versions prior to 20.4r3-s8-evo; 21.1 version 21.1r1-evo and later versions prior to 21.2r3-s6-evo; 21.3 versions prior to 21.3r3-s5-evo; 21.4 versions prior to 21.4r3-s4-evo; 22.1 versions prior to 22.1r3-s4-evo; 22.2 versions prior to 22.2r3-s2-evo; 22.3 versions prior to 22.3r2-s2-evo, 22.3r3-s1-evo; 22.4 versions prior to 22.4r2-s1-evo, 22.4r3-evo; 23.1 versions prior to 23.1r1-s1-evo, 23.1r2-evo."	TRUE	4	reviewed	TRUE
CVE-2023-0027	rockwell automation modbus tcp server aoi prior to 2.04.00 is vulnerable to an unauthorized user sending a malformed message that could cause the controller to respond with a copy of the most recent response to the last valid request. if exploited, an unauthorized user could read the connected deviceâ€™s modbus tcp server aoi information.	"Extract cybersecurity concepts and relationships from the following description:

rockwell automation modbus tcp server aoi prior to 2.04.00 is vulnerable to an unauthorized user sending a malformed message that could cause the controller to respond with a copy of the most recent response to the last valid request. if exploited, an unauthorized user could read the connected deviceâ€™s modbus tcp server aoi information."	FALSE	0	unreviewed	FALSE
CVE-2023-0028	cross-site scripting (xss) - stored in github repository linagora/twake prior to 2023.q1.1200+.	"Extract cybersecurity concepts and relationships from the following description:

cross-site scripting (xss) - stored in github repository linagora/twake prior to 2023.q1.1200+."	FALSE	0	unreviewed	FALSE
CVE-2023-0029	a vulnerability was found in multilaser re708 re1200r4gc-2t2r-v3_v3411b_mul029b. it has been rated as problematic. this issue affects some unknown processing of the component telnet service. the manipulation leads to denial of service. the attack may be initiated remotely. the identifier vdb-217169 was assigned to this vulnerability.	"Extract cybersecurity concepts and relationships from the following description:

a vulnerability was found in multilaser re708 re1200r4gc-2t2r-v3_v3411b_mul029b. it has been rated as problematic. this issue affects some unknown processing of the component telnet service. the manipulation leads to denial of service. the attack may be initiated remotely. the identifier vdb-217169 was assigned to this vulnerability."	FALSE	2	unreviewed	FALSE
CVE-2023-0030	a use-after-free flaw was found in the linux kernelâ€™s nouveau driver in how a user triggers a memory overflow that causes the nvkm_vma_tail function to fail. this flaw allows a local user to crash or potentially escalate their privileges on the system.	"Extract cybersecurity concepts and relationships from the following description:

a use-after-free flaw was found in the linux kernelâ€™s nouveau driver in how a user triggers a memory overflow that causes the nvkm_vma_tail function to fail. this flaw allows a local user to crash or potentially escalate their privileges on the system."	FALSE	2	unreviewed	FALSE
CVE-2023-0033	the pdf viewer wordpress plugin before 1.0.0 does not validate and escape one of its shortcode attributes, which could allow users with a role as low as contributor to perform stored cross-site scripting attack.	"Extract cybersecurity concepts and relationships from the following description:

the pdf viewer wordpress plugin before 1.0.0 does not validate and escape one of its shortcode attributes, which could allow users with a role as low as contributor to perform stored cross-site scripting attack."	FALSE	0	unreviewed	FALSE
CVE-2023-0034	the jetwidgets for elementor wordpress plugin before 1.0.14 does not validate and escape some of its shortcode attributes before outputting them back in a page/post where the shortcode is embed, which could allow users with the contributor role and above to perform stored cross-site scripting attacks	"Extract cybersecurity concepts and relationships from the following description:

the jetwidgets for elementor wordpress plugin before 1.0.14 does not validate and escape some of its shortcode attributes before outputting them back in a page/post where the shortcode is embed, which could allow users with the contributor role and above to perform stored cross-site scripting attacks"	FALSE	0	unreviewed	FALSE
CVE-2023-0035	softbus_client_stub in communication subsystem within openharmony-v3.0.5 and prior versions has an authentication bypass vulnerability which allows an "sa relay attack".local attackers can bypass authentication and attack other sas with high privilege.	"Extract cybersecurity concepts and relationships from the following description:

softbus_client_stub in communication subsystem within openharmony-v3.0.5 and prior versions has an authentication bypass vulnerability which allows an ""sa relay attack"".local attackers can bypass authentication and attack other sas with high privilege."	TRUE	6	unreviewed	TRUE
CVE-2023-0036	platform_callback_stub in misc subsystem within openharmony-v3.0.5 and prior versions has an authentication bypass vulnerability which allows an "sa relay attack".local attackers can bypass authentication and attack other sas with high privilege.	"Extract cybersecurity concepts and relationships from the following description:

platform_callback_stub in misc subsystem within openharmony-v3.0.5 and prior versions has an authentication bypass vulnerability which allows an ""sa relay attack"".local attackers can bypass authentication and attack other sas with high privilege."	TRUE	6	unreviewed	TRUE
CVE-2023-0037	the 10web map builder for google maps wordpress plugin before 1.0.73 does not properly sanitise and escape some parameters before using them in an sql statement via an ajax action available to unauthenticated users, leading to a sql injection	"Extract cybersecurity concepts and relationships from the following description:

the 10web map builder for google maps wordpress plugin before 1.0.73 does not properly sanitise and escape some parameters before using them in an sql statement via an ajax action available to unauthenticated users, leading to a sql injection"	FALSE	2	unreviewed	FALSE
CVE-2023-0038	the "survey maker â€“ best wordpress survey plugin" plugin for wordpress is vulnerable to stored cross-site scripting via survey answers in versions up to, and including, 3.1.3 due to insufficient input sanitization and output escaping. this makes it possible for unauthenticated attackers to inject arbitrary web scripts when submitting quizzes that will execute whenever a user accesses the submissions page.	"Extract cybersecurity concepts and relationships from the following description:

the ""survey maker â€“ best wordpress survey plugin"" plugin for wordpress is vulnerable to stored cross-site scripting via survey answers in versions up to, and including, 3.1.3 due to insufficient input sanitization and output escaping. this makes it possible for unauthenticated attackers to inject arbitrary web scripts when submitting quizzes that will execute whenever a user accesses the submissions page."	TRUE	6	reviewed	TRUE
CVE-2023-0039	rejected reason: duplicate. please use cve-2022-4060 instead.	"Extract cybersecurity concepts and relationships from the following description:

rejected reason: duplicate. please use cve-2022-4060 instead."	FALSE	0	unreviewed	FALSE
CVE-2023-0040	versions of async http client prior to 1.13.2 are vulnerable to a form of targeted request manipulation called crlf injection. this vulnerability was the result of insufficient validation of http header field values before sending them to the network. users are vulnerable if they pass untrusted data into http header field values without prior sanitisation. common use-cases here might be to place usernames from a database into http header fields. this vulnerability allows attackers to inject new http header fields, or entirely new requests, into the data stream. this can cause requests to be understood very differently by the remote server than was intended. in general, this is unlikely to result in data disclosure, but it can result in a number of logical errors and other misbehaviours.	"Extract cybersecurity concepts and relationships from the following description:

versions of async http client prior to 1.13.2 are vulnerable to a form of targeted request manipulation called crlf injection. this vulnerability was the result of insufficient validation of http header field values before sending them to the network. users are vulnerable if they pass untrusted data into http header field values without prior sanitisation. common use-cases here might be to place usernames from a database into http header fields. this vulnerability allows attackers to inject new http header fields, or entirely new requests, into the data stream. this can cause requests to be understood very differently by the remote server than was intended. in general, this is unlikely to result in data disclosure, but it can result in a number of logical errors and other misbehaviours."	FALSE	2	unreviewed	FALSE
CVE-2023-0041	ibm security guardium 11.5 could allow a user to take over another user's session due to insufficient session expiration. ibm x-force id: 243657.	"Extract cybersecurity concepts and relationships from the following description:

ibm security guardium 11.5 could allow a user to take over another user's session due to insufficient session expiration. ibm x-force id: 243657."	FALSE	0	unreviewed	FALSE
CVE-2023-0042	an issue has been discovered in gitlab ce/ee affecting all versions starting from 11.4 prior to 15.5.7, 15.6 prior to 15.6.4, and 15.7 prior to 15.7.2. gitlab pages allows redirection to arbitrary protocols.	"Extract cybersecurity concepts and relationships from the following description:

an issue has been discovered in gitlab ce/ee affecting all versions starting from 11.4 prior to 15.5.7, 15.6 prior to 15.6.4, and 15.7 prior to 15.7.2. gitlab pages allows redirection to arbitrary protocols."	FALSE	2	reviewed	FALSE
CVE-2023-0043	the custom add user wordpress plugin through 2.0.2 does not sanitise and escape a parameter before outputting it back in the page, leading to a reflected cross-site scripting which could be used against high privilege users such as admin	"Extract cybersecurity concepts and relationships from the following description:

the custom add user wordpress plugin through 2.0.2 does not sanitise and escape a parameter before outputting it back in the page, leading to a reflected cross-site scripting which could be used against high privilege users such as admin"	TRUE	6	reviewed	TRUE
CVE-2023-0044	if the quarkus form authentication session cookie path attribute is set to `/` then a cross-site attack may be initiated which might lead to the information disclosure. this attack can be prevented with the quarkus csrf prevention feature.	"Extract cybersecurity concepts and relationships from the following description:

if the quarkus form authentication session cookie path attribute is set to `/` then a cross-site attack may be initiated which might lead to the information disclosure. this attack can be prevented with the quarkus csrf prevention feature."	FALSE	0	unreviewed	FALSE
CVE-2023-0045	the current implementation of the prctl syscall does not issue an ibpb immediately during the syscall. the ib_prctl_set function updates the thread information flags (tifs) for the task and updates the spec_ctrl msr on the function __speculation_ctrl_update, but the ibpb is only issued on the next schedule, when the tif bits are checked. this leaves the victim vulnerable to values already injected on the btb, prior to the prctl syscall. the patch that added the support for the conditional mitigation via prctl (ib_prctl_set) dates back to the kernel 4.9.176. we recommend upgrading past commit a664ec9158eeddd75121d39c9a0758016097fa96	"Extract cybersecurity concepts and relationships from the following description:

the current implementation of the prctl syscall does not issue an ibpb immediately during the syscall. the ib_prctl_set function updates the thread information flags (tifs) for the task and updates the spec_ctrl msr on the function __speculation_ctrl_update, but the ibpb is only issued on the next schedule, when the tif bits are checked. this leaves the victim vulnerable to values already injected on the btb, prior to the prctl syscall. the patch that added the support for the conditional mitigation via prctl (ib_prctl_set) dates back to the kernel 4.9.176. we recommend upgrading past commit a664ec9158eeddd75121d39c9a0758016097fa96"	FALSE	0	unreviewed	FALSE
CVE-2023-0046	improper restriction of names for files and other resources in github repository lirantal/daloradius prior to master-branch.	"Extract cybersecurity concepts and relationships from the following description:

improper restriction of names for files and other resources in github repository lirantal/daloradius prior to master-branch."	FALSE	0	unreviewed	FALSE
CVE-2023-0047	rejected reason: do not use this candidate number. consultids: none. reason: this candidate was in a cna pool that was not assigned to any issues during 2023. notes: none.	"Extract cybersecurity concepts and relationships from the following description:

rejected reason: do not use this candidate number. consultids: none. reason: this candidate was in a cna pool that was not assigned to any issues during 2023. notes: none."	FALSE	0	unreviewed	FALSE
CVE-2023-0048	code injection in github repository lirantal/daloradius prior to master-branch.	"Extract cybersecurity concepts and relationships from the following description:

code injection in github repository lirantal/daloradius prior to master-branch."	FALSE	0	unreviewed	FALSE
CVE-2023-0049	out-of-bounds read in github repository vim/vim prior to 9.0.1143.	"Extract cybersecurity concepts and relationships from the following description:

out-of-bounds read in github repository vim/vim prior to 9.0.1143."	FALSE	0	unreviewed	FALSE
CVE-2023-0050	an issue has been discovered in gitlab affecting all versions starting from 13.7 before 15.7.8, all versions starting from 15.8 before 15.8.4, all versions starting from 15.9 before 15.9.2. a specially crafted kroki diagram could lead to a stored xss on the client side which allows attackers to perform arbitrary actions on behalf of victims.	"Extract cybersecurity concepts and relationships from the following description:

an issue has been discovered in gitlab affecting all versions starting from 13.7 before 15.7.8, all versions starting from 15.8 before 15.8.4, all versions starting from 15.9 before 15.9.2. a specially crafted kroki diagram could lead to a stored xss on the client side which allows attackers to perform arbitrary actions on behalf of victims."	FALSE	2	unreviewed	FALSE
CVE-2023-0051	heap-based buffer overflow in github repository vim/vim prior to 9.0.1144.	"Extract cybersecurity concepts and relationships from the following description:

heap-based buffer overflow in github repository vim/vim prior to 9.0.1144."	FALSE	0	unreviewed	FALSE
CVE-2023-0052	sauter controls nova 200â€“220 series with firmware version 3.3-006 and prior and bacnetstac version 4.2.1 and prior allows the execution of commands without credentials. as telnet and file transfer protocol (ftp) are the only protocols available for device management, an unauthorized user could access the system and modify the device configuration, which could result in the unauthorized user executing unrestricted malicious commands.	"Extract cybersecurity concepts and relationships from the following description:

sauter controls nova 200â€“220 series with firmware version 3.3-006 and prior and bacnetstac version 4.2.1 and prior allows the execution of commands without credentials. as telnet and file transfer protocol (ftp) are the only protocols available for device management, an unauthorized user could access the system and modify the device configuration, which could result in the unauthorized user executing unrestricted malicious commands."	FALSE	0	unreviewed	FALSE
CVE-2023-0053	sauter controls nova 200â€“220 series with firmware version 3.3-006 and prior and bacnetstac version 4.2.1 and prior have only ftp and telnet available for device management. any sensitive information communicated through these protocols, such as credentials, is sent in cleartext. an attacker could obtain sensitive information such as user credentials to gain access to the system.	"Extract cybersecurity concepts and relationships from the following description:

sauter controls nova 200â€“220 series with firmware version 3.3-006 and prior and bacnetstac version 4.2.1 and prior have only ftp and telnet available for device management. any sensitive information communicated through these protocols, such as credentials, is sent in cleartext. an attacker could obtain sensitive information such as user credentials to gain access to the system."	FALSE	0	unreviewed	FALSE
CVE-2023-0054	out-of-bounds write in github repository vim/vim prior to 9.0.1145.	"Extract cybersecurity concepts and relationships from the following description:

out-of-bounds write in github repository vim/vim prior to 9.0.1145."	FALSE	0	unreviewed	FALSE
