id	is_critical	platforms	description
CVE-2023-0067	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0068	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0069	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0070	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0071	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0072	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0073	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0074	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0075	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0076	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0077	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0078	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0079	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0080	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0081	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0082	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0083	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0084	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0085	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0086	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0087	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0088	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0089	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0090	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0091	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0092	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0093	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0094	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0095	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0096	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0097	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0098	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0099	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0100	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0101	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0102	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0103	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0104	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0105	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0106	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0107	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0108	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0109	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0110	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0111	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0112	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0113	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0114	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0115	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0116	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0117	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0118	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0119	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0120	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0121	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0122	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0123	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0124	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0125	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0126	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0127	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0128	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0129	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0130	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0131	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0132	FALSE	['Windows', 'Windows_v109.0.5414']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0133	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0134	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0135	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0136	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0137	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0138	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0139	FALSE	['Windows', 'Windows_v109.0.5414']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0140	FALSE	['Windows', 'Windows_v109.0.5414']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0141	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0142	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0143	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0144	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0145	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0146	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0147	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0148	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0149	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0150	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0151	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0152	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0153	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0154	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0155	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0156	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0157	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0158	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0159	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0160	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0161	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0162	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0163	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0164	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0165	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0166	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0167	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0168	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0169	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0170	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0171	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0172	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0173	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0174	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0175	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0176	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0177	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0178	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0179	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0180	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0181	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0182	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0183	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0184	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0185	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0186	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0187	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0188	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0189	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0190	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0191	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0192	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0193	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0194	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0195	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0196	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0197	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0198	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0199	FALSE	['Windows']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0200	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0201	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0202	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0203	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0204	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0205	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0206	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0207	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0208	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0209	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0210	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0212	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0213	FALSE	['Windows', 'Windows_v22.6']	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0214	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0215	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0216	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0217	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0219	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0220	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0221	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0223	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0224	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0225	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0227	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0228	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0229	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0230	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0231	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0232	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0233	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0234	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0235	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0236	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0237	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0238	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0240	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0241	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0242	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0243	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0244	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0245	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0246	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0247	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0248	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0249	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0250	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0251	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0252	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0253	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0254	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0255	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0256	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0257	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0258	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0259	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0260	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0261	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0262	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0263	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0264	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0265	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0266	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0267	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0268	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0269	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0270	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0271	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0272	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0273	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0274	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0275	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0276	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0277	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0278	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0279	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0280	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0281	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0282	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0283	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0284	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0285	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0286	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0287	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0288	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0289	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0290	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0291	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0292	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0293	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0294	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0295	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0296	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0297	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0298	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0299	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0300	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0301	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0302	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0303	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0304	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0305	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0306	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0307	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0308	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0309	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0310	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0311	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0312	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0313	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0314	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0315	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0316	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0317	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0319	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0320	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0321	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0322	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0323	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0324	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0325	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0326	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0327	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0328	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0329	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0330	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0331	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0332	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0333	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0334	TRUE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0335	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0336	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0337	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0338	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0339	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0340	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0341	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
CVE-2023-0342	FALSE	[]	Extract cybersecurity concepts and relationships from the following description:...
